danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.774,0.7509999999999999,-2.445,0.198,0.0614,0.0,0.0728,0.1889999999999999,219.96
0.617,0.541,-4.113,0.78,0.125,0.0,0.369,0.43,159.996
0.765,0.62,-7.337999999999999,0.14,0.0643,0.0001899999999999,0.16,0.218,219.808
0.386,0.936,-5.551,0.604,0.1009999999999999,0.0019199999999999,0.381,0.193,190.15
0.504,0.48,-8.885,0.045,0.8320000000000001,0.000252,0.1009999999999999,0.878,173.993
0.812,0.7070000000000001,-6.815,0.0752,0.236,0.0,0.5870000000000001,0.248,219.984
0.8540000000000001,0.98,-1.181,0.0569,0.263,0.00053,0.5479999999999999,0.255,220.002
0.5770000000000001,0.6920000000000001,-5.96,0.64,0.372,0.0596,0.0989,0.0658,144.702
0.494,0.695,-10.566,0.7509999999999999,0.00421,0.0158,0.223,0.0722,155.01
0.649,0.772,-5.332000000000001,0.133,0.7170000000000001,0.00305,0.103,0.0294,219.946
0.449,0.645,-4.784,0.0366,0.0095599999999999,0.0084599999999999,0.107,0.0589,219.692
0.8320000000000001,0.802,-4.039,0.22,0.3429999999999999,0.00361,0.139,0.178,220.012
0.708,0.298,-16.427,0.0578,0.698,0.772,0.304,0.118,124.863
0.755,0.765,-7.256,0.288,0.0272,0.0,0.565,0.401,219.89
0.8490000000000001,0.98,-0.964,0.0575,0.254,0.000787,0.551,0.295,219.988
0.8690000000000001,0.5720000000000001,-9.086,0.55,0.0493,0.0,0.103,0.6579999999999999,152.11
0.136,0.821,-5.454,0.16,0.0965,0.0291,0.325,0.0362,192.94
0.622,0.635,-6.501,0.0418,0.6509999999999999,7.88e-06,0.119,0.602,119.922
0.5489999999999999,0.44,-12.024,0.472,0.632,0.000779,0.0909,0.132,218.41
0.321,0.949,-7.297000000000001,0.555,0.0033399999999999,0.217,0.579,0.196,154.996
0.908,0.499,-7.792999999999999,0.642,0.267,0.0,0.078,0.114,132.968
0.755,0.517,-9.804,0.0751,0.754,0.0,0.127,0.6990000000000001,129.02700000000002
0.593,0.632,-5.381,0.541,0.0133,0.0,0.64,0.0789,173.36900000000003
0.6920000000000001,0.401,-9.382,0.0936,0.73,0.000932,0.0722,0.33,120.336
0.5720000000000001,0.613,-9.866,0.0567,0.0635,0.000239,0.204,0.5,219.95
0.618,0.217,-15.372,0.0515,0.836,0.0001629999999999,0.5379999999999999,0.0872,116.014
0.672,0.588,-9.573,0.133,0.619,0.241,0.0992,0.204,169.033
0.657,0.427,-12.599,0.125,0.772,0.0,0.0715,0.672,124.996
0.8340000000000001,0.26,-17.622,0.0525,0.797,0.0376,0.114,0.175,199.938
0.6729999999999999,0.258,-12.255999999999998,0.181,0.7979999999999999,0.634,0.0919,0.1119999999999999,190.002
0.7190000000000001,0.387,-9.38,0.0643,0.8909999999999999,0.0,0.114,0.17,135.064
0.889,0.46,-10.627,0.067,0.6859999999999999,0.000705,0.0917,0.784,177.97
0.723,0.201,-14.8,0.296,0.0648,0.000424,0.124,0.268,159.971
0.7340000000000001,0.375,-11.634,0.22,0.82,6.94e-06,0.0922,0.183,160.12
0.703,0.757,-3.612,0.05,0.617,0.0,0.106,0.696,164.016
0.615,0.674,-7.991,0.0805,0.147,0.000372,0.296,0.0395,219.992
0.703,0.39,-16.090999999999998,0.4539999999999999,0.416,0.0,0.178,0.624,159.768
0.7859999999999999,0.34,-13.642,0.452,0.843,0.0,0.106,0.294,147.996
0.6759999999999999,0.971,-1.781,0.0619,0.0948,0.0384,0.2,0.151,219.96400000000003
0.45,0.17,-21.006,0.0475,0.966,0.138,0.044,0.213,75.418
0.308,0.238,-15.63,0.0816,0.899,0.000312,0.11,0.152,127.174
0.584,0.485,-10.937,0.0418,0.8340000000000001,1.4300000000000002e-05,0.109,0.0339,120.046
0.57,0.8270000000000001,-5.928999999999999,0.6659999999999999,0.1989999999999999,4.15e-05,0.215,0.192,142.27100000000002
0.49,0.501,-11.166,0.0384,0.802,0.0101,0.1989999999999999,0.113,150.0
0.778,0.114,-9.346,0.124,0.8220000000000001,0.0557,0.366,0.42,130.04
0.6970000000000001,0.354,-15.064,0.206,0.892,2.48e-06,0.0539,0.575,156.014
0.706,0.437,-9.888,0.0849,0.823,0.0,0.1009999999999999,0.7609999999999999,130.013
0.726,0.431,-8.765,0.135,0.731,0.0,0.696,0.348,144.026
0.652,0.483,-8.92,0.246,0.931,0.0,0.0959,0.469,156.534
0.5429999999999999,0.268,-17.464000000000002,0.0862,0.5770000000000001,0.0007019999999999,0.286,0.118,174.018
0.574,0.747,-8.801,0.361,0.04,0.0,0.934,0.5670000000000001,160.143
0.8390000000000001,0.237,-15.698,0.319,0.556,4.35e-05,0.186,0.506,133.937
0.649,0.654,-7.653,0.0342,0.7490000000000001,3.13e-05,0.0975,0.175,121.999
0.4679999999999999,0.7959999999999999,-4.958,0.11,0.236,8.65e-05,0.1369999999999999,0.193,219.804
0.598,0.5589999999999999,-7.22,0.083,0.637,0.0,0.1369999999999999,0.254,145.822
0.8440000000000001,0.5329999999999999,-9.612,0.552,0.0735,3.46e-06,0.0953,0.23,140.078
0.527,0.742,-7.244,0.0657,0.0023,0.0,0.211,0.295,220.216
0.648,0.7120000000000001,-4.8660000000000005,0.0667,0.667,0.0,0.106,0.408,145.10299999999998
0.8390000000000001,0.7490000000000001,-7.167000000000001,0.149,0.4529999999999999,0.0137,0.2239999999999999,0.292,220.022
0.2189999999999999,0.573,-4.473,0.0381,0.807,0.0,0.0341,0.0653,156.808
0.531,0.7020000000000001,-2.977,0.0453,0.731,0.125,0.218,0.0906,127.632
0.831,0.569,-7.739,0.593,0.129,2.31e-06,0.0969,0.518,153.918
0.8420000000000001,0.39,-10.964,0.14,0.7120000000000001,0.0,0.103,0.0936,114.988
0.517,0.932,-6.303999999999999,0.575,0.00307,0.0487,0.405,0.166,141.129
0.8190000000000001,0.462,-9.638,0.485,0.8140000000000001,1.62e-05,0.318,0.5,159.873
0.732,0.3879999999999999,-6.524,0.037,0.0163,0.000354,0.193,0.0362,220.004
0.8759999999999999,0.852,-4.695,0.0518,0.165,0.0397,0.1,0.141,220.014
0.767,0.8540000000000001,-4.57,0.0675,0.1689999999999999,0.000529,0.175,0.519,219.886
0.504,0.317,-15.761,0.0502,0.742,0.285,0.4029999999999999,0.115,139.774
0.5870000000000001,0.992,-2.756,0.8590000000000001,0.118,0.0,0.526,0.409,209.612
0.703,0.34,-14.309,0.209,0.645,0.0071,0.106,0.0992,215.886
0.628,0.85,-4.899,0.845,0.066,0.0,0.0963,0.241,124.021
0.644,0.2769999999999999,-13.882,0.0415,0.68,0.0,0.0952,0.423,212.022
0.589,0.607,-12.671,0.614,0.177,0.0,0.0928,0.77,164.132
0.536,0.684,-4.955,0.107,0.00158,0.0,0.7609999999999999,0.402,153.218
0.833,0.203,-12.456,0.211,0.00907,5.91e-06,0.124,0.04,200.046
0.396,0.376,-11.559,0.0386,0.616,0.000423,0.175,0.0386,114.972
0.457,0.995,-3.109,0.838,0.0457,0.9,0.397,0.122,150.056
